SETTLEMENT PERIOD,p/kWh
1,9
2,9
3,9
4,9
5,9
6,9
7,9
8,9
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
27,9
28,18.06
29,18.06
30,18.06
31,18.06
32,18.06
33,18.06
34,18.06
35,18.06
36,18.06
37,18.06
38,18.06
39,18.06
40,18.06
41,18.06
42,18.06
43,18.06
44,18.06
45,18.06
46,18.06
47,18.06
48,18.06
49,18.06
50,18.06
51,18.06
52,18.06
53,18.06
54,18.06
55,18.06
56,18.06
57,18.06
58,18.06
59,18.06
60,18.06
61,18.06
62,18.06
63,18.06
64,18.06
65,18.06
66,18.06
67,18.06
68,18.06
69,18.06
70,18.06
71,18.06
72,18.06
73,18.06
74,18.06
75,18.06
76,18.06
77,18.06
78,18.06
79,18.06
80,18.06
81,18.06
82,18.06
83,18.06
84,9
85,9
86,9
87,9
88,9
89,9
90,9
91,9
92,9
93,9
94,9
95,9
96,9
